timestamp,ip,protocol,port,hostname,tag,mac_address,asn,geo,region,city,workgroup,machine_name,username,naics,sic,sector
8/1/2020 3:09,115.78.15.90,udp,137,,netbios,00-00-00-00-00-00,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,ROUTER,ROUTER,517312,,Communications
8/1/2020 3:09,115.74.237.158,udp,137,adsl.viettel.vn,netbios,98-BE-94-41-7E-C2,7552,VN,HA NOI,HANOI,WORKGROUP,WIN-A41IF8GF8RN,,517312,,Communications
8/1/2020 3:09,42.112.147.80,udp,137,,netbios,00-00-00-00-00-00,18403,VN,HA NOI,HANOI,WORKGROUP,CONGTYPA,CONGTYPA,517311,,Communications
8/1/2020 3:09,103.97.125.163,udp,137,no-ptr.123host.vn,netbios,FA-16-3E-66-DE-31,56153,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,QUANGDUY-WINDOW,,0,,Communications
8/1/2020 3:09,103.116.104.148,udp,137,,netbios,00-50-56-9C-2C-26,63731,VN,HA NOI,HANOI,,,,812112,,Communications
8/1/2020 3:09,103.28.32.105,udp,137,,netbios,00-50-56-A3-05-53,135918,VN,HA NOI,HANOI,WORKGROUP,WIN15353,,0,,Communications
8/1/2020 3:09,118.69.201.112,udp,137,mail.lyle.com.vn,netbios,00-25-90-31-9F-93,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,SERBK201112,,517311,,Communications
8/1/2020 3:09,49.236.208.36,udp,137,,netbios,00-50-56-B1-9F-0E,135918,VN,QUANG TRI,QUANG TRI,,,,0,,Communications
8/1/2020 3:09,202.158.244.99,udp,137,,netbios,00-50-56-A3-1C-B6,135918,VN,HA NOI,HANOI,WORKGROUP,WIN23997,,0,,Communications
8/1/2020 3:09,116.98.114.119,udp,137,dynamic-ip-adsl.viettel.vn,netbios,A4-BF-01-0B-34-EF,7552,VN,NGHE AN,VINH,WORKGROUP,WIN-F2MR9IR8GPP,,517312,,Communications
8/1/2020 3:09,125.253.114.150,udp,137,,netbios,00-50-56-A3-0B-39,45538,VN,BAC GIANG,BAC GIANG,WORKGROUP,WIN21782,,0,,Communications
8/1/2020 3:09,103.237.147.138,udp,137,,netbios,00-50-56-08-00-D2,131414,VN,HA NOI,HANOI,,,,0,,Communications
8/1/2020 3:09,118.70.126.173,udp,137,,netbios,00-00-00-00-00-00,18403,VN,HA NOI,HANOI,WORKGROUP,LAOCAI,LAOCAI,517311,,Communications
8/1/2020 3:09,103.63.213.25,udp,137,myhalozend.com,netbios,00-0C-29-E6-12-0D,135920,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WIN-SS0ER26M0BR,,0,,Communications
8/1/2020 3:09,123.30.151.131,udp,137,static.vnpt.vn,netbios,00-15-5D-00-00-52,45899,VN,HA NOI,HANOI,,,,517311,,Communications
8/1/2020 3:09,49.236.211.155,udp,137,,netbios,00-50-56-B1-5E-51,135918,VN,THAI NGUYEN,THAI NGUYEN,WORKGROUP,WIN26,,0,,Communications
8/1/2020 3:09,123.27.28.196,udp,137,localhost,netbios,F8-B1-56-DD-B4-BD,45899,VN,HA TINH,HA TINH,WORKGROUP,DIVINH,,517311,,Communications
8/1/2020 3:09,115.79.198.47,udp,137,,netbios,00-00-00-00-00-00,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,ADMIN,ADMIN,517312,,Communications
8/1/2020 3:09,115.73.221.175,udp,137,mail.bigfile.org,netbios,00-00-00-00-00-00,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,SERVERHQ,SERVERHQ,517312,,Communications
