"timestamp","ip","port","hostname","asn","geo","region","city","naics","sic","product","banner"
"2020-08-01 10:32:33","115.75.5.116",5900,,7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:32:36","115.75.58.153",5900,,7552,"VN","TAY NINH","TAY NINH",517312,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:32:36","118.70.133.201",5900,"mail.ttibv.vn",18403,"VN","HA NOI","HANOI",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:32:37","123.25.219.30",5900,"static.vdc.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:32:38","113.161.161.132",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,"RFB 003.003|&VNC Server's subscription has expired."
"2020-08-01 10:32:40","113.22.243.143",5900,,18403,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise v5.3 or later","RFB 005.000"
"2020-08-01 10:32:41","42.116.16.124",5900,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:32:41","113.160.120.205",5900,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:32:41","117.4.254.198",5900,"localhost",7552,"VN","HA NOI","HANOI",517312,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:32:43","113.160.188.178",5900,"static.vnpt.vn",45899,"VN","THANH HOA","THANH HOA",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:32:43","113.161.240.217",5900,"static.vnpt.vn",45899,"VN","LONG AN","BEN LUC",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:32:43","171.244.3.102",5900,,38731,"VN","HA NOI","HANOI",517312,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:32:43","115.79.218.115",5900,"adsl.viettel.vn",7552,"VN","HA NOI","HANOI",517312,,"VNC protocol 3.3","RFB 003.003"
"2020-08-01 10:32:45","113.190.242.22",5900,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"Apple remote desktop vnc","RFB 003.889"
"2020-08-01 10:32:47","113.161.38.236",5900,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:32:47","113.163.216.185",5900,"static.vnpt.vn",45899,"VN","BA RIA-VUNG TAU","VUNG TAU",517311,,"VNC protocol 3.8","RFB 003.008"
"2020-08-01 10:33:23","123.22.212.160",5900,,45899,"VN","TRA VINH","LONG DUC",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:25","14.241.235.55",5900,,45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
"2020-08-01 10:33:25","14.189.11.102",5900,"static.vnpt.vn",45899,"VN","HA TINH","HA TINH",517311,,"RealVNC Enterprise protocol 4.1","RFB 004.001"
