timestamp,ip,port,hostname,tag,ipmi_version,asn,geo,region,city,none_auth,md2_auth,md5_auth,passkey_auth,oem_auth,defaultkg,permessage_auth,userlevel_auth,usernames,nulluser,anon_login,error,deviceid,devicerev,firmwarerev,version,manufacturerid,manufacturername,productid,productname,naics,sic,sector
8/1/2020 0:58,103.141.139.123,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:58,103.199.18.136,623,,ipmi,2,63734,VN,HA NOI,HANOI,no,yes,yes,yes,no,default,enabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:59,103.140.250.35,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,yes,no,no,default,enabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:59,203.210.143.13,623,static.vnpt.vn,ipmi,2,45899,VN,HA NOI,HANOI,no,no,yes,no,no,default,disabled,disabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:02,103.141.139.189,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:02,103.125.188.75,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:03,103.125.188.236,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:03,103.125.188.229,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:04,103.141.139.205,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:04,103.140.250.31,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:04,103.125.188.89,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:04,103.141.139.239,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:05,103.139.103.202,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:05,118.68.218.121,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 1:05,103.70.30.244,623,maxhost.vn,ipmi,2,63761,VN,HO CHI MINH,THANH PHO HO CHI MINH,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,333995,,Communications
8/1/2020 1:06,180.93.32.60,623,,ipmi,2,7602,VN,DA NANG,DA NANG,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:06,103.141.139.129,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:06,222.255.167.210,623,static.vnpt.vn,ipmi,2,45899,VN,DA NANG,DA NANG,no,no,yes,no,no,default,disabled,disabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 1:07,103.141.144.233,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:07,103.141.139.67,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:07,171.244.3.102,623,,ipmi,2,38731,VN,HA NOI,HANOI,no,yes,yes,yes,no,default,enabled,enabled,yes,no,no,,,,,,,,,,517312,,Communications
8/1/2020 1:07,103.141.139.137,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:07,118.68.218.123,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 1:08,103.141.139.103,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:08,103.141.139.237,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:09,103.141.139.185,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:10,103.141.139.91,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:10,103.9.1.19,623,static.telehouse.com.vn,ipmi,2,131358,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:11,103.139.103.216,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:11,103.125.188.151,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:11,103.140.250.8,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:11,118.69.164.188,623,,ipmi,2,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,no,yes,yes,yes,no,default,enabled,enabled,yes,yes,no,,,,,,,,,,517311,,Communications
8/1/2020 1:11,113.164.14.18,623,static.vnpt.vn,ipmi,2,45899,VN,THUA THIEN-HUE,HUE,no,no,yes,no,no,default,disabled,disabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 1:12,103.141.139.93,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:12,103.139.103.215,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:12,103.125.188.239,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:13,103.141.139.215,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:13,103.68.69.150,623,,ipmi,2,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,no,no,yes,no,no,default,disabled,disabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:13,103.139.103.208,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:14,125.234.102.146,623,125.234.102.146.hcm.viettel.vn,ipmi,1.5,7552,VN,HA NOI,HANOI,no,no,yes,no,no,-,enabled,enabled,no,yes,no,,,,,,,,,,0,,Communications
8/1/2020 1:14,103.125.188.71,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:14,103.141.138.9,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:14,103.125.188.219,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:15,103.125.188.57,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:15,103.141.139.167,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:15,103.140.250.25,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,enabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:16,103.141.144.177,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,yes,yes,no,no,default,enabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:16,103.207.38.59,623,,ipmi,2,45899,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:17,103.125.188.127,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
