"timestamp","ip","port","hostname","asn","geo","region","city","naics","sic","smb_implant","arch","key"
"2020-08-01 09:45:11","118.69.198.246",445,"mail804.canhcam.com.vn",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:11","103.205.96.155",445,,63731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:45:12","125.212.253.199",445,,3873,"VN","BA RIA-VUNG TAU","VUNG TAU",517312,,"N",,
"2020-08-01 09:45:12","210.245.88.37",445,"mail.dlhvn.com",18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:12","125.212.202.19",445,,38731,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:12","125.235.8.60",445,"125.235.8.60.adsl.viettel.vn",7552,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:12","118.70.133.201",445,"mail.ttisv.com.vn",18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:12","123.16.70.165",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:13","123.31.20.84",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:13","125.212.209.164",445,,7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:45:13","123.16.234.210",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:13","14.236.234.161",445,"static.vnpt.vn",45899,"VN","DA NANG","DA NANG",517311,,"N",,
"2020-08-01 09:45:13","113.188.1.39",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:13","210.211.116.3",445,"static.viettelidc.com.vn",38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:45:13","42.116.92.139",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:14","14.231.12.255",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:14","171.244.40.78",445,,38731,"VN","HUNG YEN","HUNG YEN",517312,,"N",,
"2020-08-01 09:45:14","27.118.20.107",445,,55313,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:14","103.130.214.51",445,,135953,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:16","103.142.139.159",445,,63731,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:18","115.79.195.184",445,"adsl.viettel.vn",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
