"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","machine_type","afp_versions","uams","flags","server_name","signature","directory_service","utf8_servername","network_address"
"2020-08-01 15:15:45","222.254.34.199","tcp",548,"static.vnpt.vn","afp",45899,"VN","HA NOI","HANOI",517311,,"Netatalk2.2.2","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3","DHX2,Cleartxt Passwrd,No User Authent","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","NAS-BIPVN","740362c16b3f39d34e39113efd7c6928",,"NAS-BIPVN","0000:0000:0000:0000:0000:0000:0000:,"
"2020-08-01 15:16:12","113.161.43.213","tcp",548,"static.vnpt.vn","afp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","File","c8e1729444db88b61bf110baa74b34fe",,"File","191.191.1.50 (TCP/IP address),"
"2020-08-01 15:16:12","171.241.56.38","tcp",548,"dynamic-ip-adsl.viettel.vn","afp",7552,"VN","HA NOI","HANOI",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","NAT","ac17f7ac20c1622ad8e406c0fa2c7aa9",,"NAT","192.168.11.254 (TCP/IP address),"
"2020-08-01 15:16:12","115.74.63.65","tcp",548,"adsl.viettel.vn","afp",7552,"VN","HA NOI","HANOI",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","THPTUVK-NAS","960e26ccdc3b7e8c0fe9881264f4a4d9",,"THPTUVK-NAS","192.168.0.10 (TCP/IP address),"
"2020-08-01 15:16:12","115.78.10.94","tcp",548,,"afp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","bborest_office","b9ca99324daa16ecf47373dde0488276",,"bborest_office","192.168.1.20 (TCP/IP address),"
"2020-08-01 15:16:13","27.79.225.210","tcp",548,"localhost","afp",7552,"VN","HA NOI","HANOI",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","TranThien","7a41190e6e4dd1678fbb772524dbc15d",,"TranThien","192.168.1.28 (TCP/IP address),"
"2020-08-01 15:16:56","118.69.62.26","tcp",548,,"afp",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","KhoaVang","5b6b5c53aba5ebe390a914c106e76d1f",,"KhoaVang","10.169.121.95 (TCP/IP address),"
"2020-08-01 15:17:04","203.113.172.228","tcp",548,,"afp",7552,"VN","HA NOI","HANOI",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","nas","f446ff5aae5107f48b16d184dbb68843",,"nas","203.113.172.228 (TCP/IP address),"
"2020-08-01 15:17:27","171.245.175.213","tcp",548,"dynamic-ip-adsl.viettel.vn","afp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,No User Authent,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","NAS-DS216jPA","2104a8a0604617bd409ffe8692189c94",,"NAS-DS216jPA","192.168.1.128 (TCP/IP address),"
"2020-08-01 15:17:27","113.160.97.194","tcp",548,"static.vnpt.vn","afp",45899,"VN","HAI PHONG","HAI PHONG",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","AMP","5de9f82e767f3aeabdb268b5e7dad718",,"AMP","192.168.0.251 (TCP/IP address),"
