timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,git_sha1,git_dirty_flag,build_id,mode,os,architecture,multiplexing_api,gcc_version,process_id,run_id,uptime,connected_clients,sector
8/1/2020 19:26,103.237.144.223,tcp,6379,,redis,3.0.504,131414,VN,HA NOI,HANOI,0,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,1888,78c11c321798183584c99f66aa37d74fbe8f13fd,12822567,37,Communications
8/1/2020 19:26,123.21.184.106,tcp,6379,,redis,4.0.9,45899,VN,HA NOI,HANOI,517311,,0,0,9435c3c2879311f3,standalone,Linux 5.3.0-1018-raspi2 aarch64,,epoll,7.4.0,5181,82b7e1c8c7139784da8e0e1deb1ca6104ab4b9d1,120591,3,Communications
8/1/2020 19:26,45.119.212.43,tcp,6379,,redis,3.0.503,131423,VN,HA NOI,HANOI,0,,0,0,d14575c6134f877,standalone,Windows,,WinSock_IOCP,,2028,a0f0cde4b6d7c50e7fef47d640ce0e2d1272e3e0,984022,3,Communications
8/1/2020 19:26,14.225.2.153,tcp,6379,mail.newinvoice.com.vn,redis,3.0.504,45899,VN,HA NOI,HANOI,517311,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,5680,30541a68e9532491599a705b1be2c6a64817e147,6778486,17,Communications
8/1/2020 19:26,171.244.9.47,tcp,6379,,redis,3.0.504,38731,VN,HA NOI,HANOI,517312,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,1236,0da67ff9f47a1a5a3b06860672ce9f521011d5f8,7134419,12,Communications
8/1/2020 19:27,103.226.249.192,tcp,6379,,redis,3.0.504,135905,VN,HA NOI,HANOI,0,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,4180,361f1981e46121ddc049526d06666d1c511b100a,535006,1,Communications
8/1/2020 19:27,103.229.193.206,tcp,6379,static.vietnamhost.com.vn,redis,4.0.9,131404,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,9435c3c2879311f3,standalone,Linux 4.15.0-108-generic x86_64,,epoll,7.4.0,16358,d2ad293d07d309d5688dc49bf93a58d51530b38b,2217991,6,Communications
8/1/2020 19:27,14.225.19.60,tcp,6379,static.vnpt.vn,redis,6.0.5,135905,VN,HA NOI,HANOI,517311,,0,0,db63ea56716d515f,standalone,Linux 3.10.0-957.21.3.el7.x86_64 x86_64,,epoll,8.3.0,1,1393fbf335495e87e0ebf6786621b2908da8f6b7,887267,13,Communications
8/1/2020 19:27,42.117.4.158,tcp,6379,,redis,3.0.504,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,1620,97c06650947b3b422f27d4b52b6bef0f3b6908d4,3309907,6,Communications
8/1/2020 19:27,14.225.5.178,tcp,6379,,redis,3.2.100,135905,VN,HA NOI,HANOI,517311,,0,0,dd26f1f93c5130ee,standalone,Windows,,WinSock_IOCP,,2844,e650f11837334d75f270e660dac97f6bced8d14f,39407,1,Communications
8/1/2020 19:28,45.119.83.81,tcp,6379,,redis,3.2.100,131386,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,dd26f1f93c5130ee,standalone,Windows,,WinSock_IOCP,,14784,ef4e5b66b88ffe3b7594dd3a57054e4f83b16835,8881,1,Communications
8/1/2020 19:28,118.70.206.204,tcp,6379,,redis,3.2.12,18403,VN,HA NOI,HANOI,517311,,0,0,7897e7d0e13773f,standalone,Linux 3.10.0-862.14.4.el7.x86_64 x86_64,,epoll,4.8.5,1543,416b4c2a23309726f0490175981e58feb8c2c397,202688,11,Communications
8/1/2020 19:28,103.142.25.233,tcp,6379,,redis,4.0.14,135951,VN,HA NOI,HANOI,0,,0,0,371a1f9ebdabb6e7,standalone,Linux 3.10.0-1127.13.1.el7.x86_64 x86_64,,epoll,6.3.0,1,49e6e86127e504c178327a00194a37977b921aa7,351238,1,Communications
8/1/2020 19:28,123.31.45.113,tcp,6379,static.vnpt.vn,redis,3.2.12,45899,VN,HA NOI,HANOI,517311,,0,0,b2d74fe5fff7657d,standalone,Linux 2.6.32-754.3.5.el6.x86_64 x86_64,,epoll,4.4.7,3965,fe82434ab1ed52b63bd537362f226cad6132886a,11358822,1,Communications
