timestamp,ip,protocol,port,hostname,asn,geo,region,city,version,clk_wander,clock,error,frequency,jitter,leap,mintc,noise,offset,peer,phase,poll,precision,processor,refid,reftime,rootdelay,rootdispersion,stability,state,stratum,system,tai,tc,naics,sic,sector
8/1/2020 3:38,103.116.106.1,udp,123,,63731,VN,HA NOI,HANOI,4,0,0xE2CF6228.9BA5E500,,0,0,0,3,,0,,,,-10,unknown,172.20.30.71,0xE2CF3CE5.1C28F610,0,0,,,4,UNIX,,10,812112,,Communications
8/1/2020 3:38,14.161.9.91,udp,123,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.8p10@1.3728-o Wed May  3 19:58:32 UTC 2017 (1),0.186,0xe2cf6229.cbd6dfd5,,6.06,0,0,3,,2.005,,,,-19,i386,82.254.39.132,0xe2cf5c5e.79e8ccd7,377.17,65.714,,,3,FreeBSD/10.3-RELEASE-p19,,9,517311,,Communications
8/1/2020 3:38,103.19.166.82,udp,123,,45896,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0.001,0xE2CF622A.5210DB8F,,9.91,0,0,3,,0.373,,,,-21,unknown,216.239.35.4,0xE2CF617F.ADD755FB,40.946,5.294,,,2,UNIX,,8,0,,Communications
8/1/2020 3:38,58.186.233.151,udp,123,,18403,VN,CAN THO,CAN THO,ntpd 4.2.6p3@1.2290 Fri Mar 11 20:26:06 UTC 2016 (51),0,0xe2cf64b5.37163002,,0,0,0,3,,0,,,,-14,armv7l,127.127.1.0,0xe2cf649f.d075f33d,0,11.363,,,6,Linux/3.10.0,,6,517311,,Communications
8/1/2020 3:38,210.245.49.42,udp,123,42-49-245-210.fpt.vn,18403,VN,HA NOI,HANOI,4,0,0xE2CF622C.51A9FCC8,,0,0,0,3,,0,,,,-10,unknown,10.22.99.45,0xE2CF612D.933334C8,0,0,,,3,UNIX,,8,517311,,Communications
8/1/2020 3:38,103.37.35.72,udp,123,,45896,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xe2cf622c.9b6f1479,,7.991,0.977,0,,0.977,0.798,,,10,-10,unknown,111.91.235.232,0xe2cf6056.fb762223,136.532,68.98,0.019,4,4,UNIX,,,0,,Communications
8/1/2020 3:38,115.74.225.183,udp,123,,7552,VN,TAY NINH,TAY NINH,4,0,0xE2CF622E.A8A46999,,0,0,0,3,,0,,,,-21,unknown,10.10.15.14,0xE2CF3DB0.1781EBC1,0,0,,,4,UNIX,,10,517312,,Communications
8/1/2020 3:38,116.118.55.59,udp,123,,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.6p3@1.2290 Fri Mar 11 20:26:06 UTC 2016 (51),0,0xe2ad2109.a6107123,,0,0,0,3,,0,,,,-14,armv7l,127.127.1.0,0xe2ad2108.8bd4fb0b,0,11.063,,,6,Linux/3.10.0,,6,0,,Communications
8/1/2020 3:38,203.162.164.106,udp,123,,45899,VN,HA NOI,HANOI,4,0,0xE2CF622E.FA5E37F0,,0,0,0,3,,0,,,,-10,unknown,10.220.69.120,0xE2CF595A.A3D70C00,0,0,,,5,UNIX,,10,517311,,Communications
8/1/2020 3:38,103.199.79.207,udp,123,,131429,VN,HA NOI,HANOI,4,,0xe2cf622f.c92b4fd8,,2.012,0.977,0,,0.977,-0.318,,,10,-10,unknown,10.247.255.10,0xe2cf61d4.3a4cd643,0.977,18.477,0.019,4,2,UNIX,,,0,,Communications
8/1/2020 3:38,103.225.236.20,udp,123,,131398,VN,HA NOI,HANOI,4,0,0xE2CF622F.ED523745,,0,0,0,3,,0,,,,-19,unknown,210.23.25.77,0xE2CF4AEB.4FE48110,0,0,,,2,UNIX,,10,0,,Communications
8/1/2020 3:38,221.133.31.34,udp,123,,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,3,0xE2CF6036.DC189144,,3,0,0,3,,3,,,,-21,unknown,172.31.8.32,0xE2CF33AF.1BEDE02B,3,3,,,4,UNIX,,10,0,,Communications
8/1/2020 3:38,171.244.0.61,udp,123,,38731,VN,HA NOI,HANOI,4,0.001,0xE2CF6234.6D0E5730,,-16.981,0,0,3,,0.359,,,,-10,unknown,172.16.36.53,0xE2CF5B79.0D916898,97.063,59.432,,,3,UNIX,,10,517312,,Communications
8/1/2020 3:38,221.133.13.225,udp,123,,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xE2CE95A5.5A094534,,0,0,3,,0,0,,,6,-24,unknown,INIT,0x00000000.00000000,0,0,0,1,16,UNIX,,,0,,Communications
8/1/2020 3:38,103.19.167.48,udp,123,,45896,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xe2cf6236.c33fb65b,,7.991,0.977,0,,0.977,0.798,,,10,-10,unknown,111.91.235.232,0xe2cf6056.fb762223,136.532,69.13,0.019,4,4,UNIX,,,0,,Communications
8/1/2020 3:38,203.113.187.114,udp,123,,7552,VN,QUANG NGAI,QUANG NGAI,,,0xE2CF622A.35BC9656,0,0,,3,,,,0,,4,,,0.0.0.0,0x00000000.00000000,0,0,,,16,cisco,,,517312,,Communications
8/1/2020 3:38,171.231.121.223,udp,123,dynamic-ip-adsl.viettel.vn,7552,VN,HA NOI,HANOI,ntpd 4.2.6p5@1.2349 Mon Dec  2 09:52:06 UTC 2013 (37),0,0xe2cdb8c2.cd2c8ffd,,0,0,0,3,,0,,,,-15,armv7l,127.127.1.0,0xe2cdb899.f8d88f56,0,11.557,,,3,Linux/3.0.8,,6,517312,,Communications
8/1/2020 3:38,117.103.205.33,udp,123,hn.vtc.vn,38248,VN,HA NOI,HANOI,ntpd 4.2.0-a Mon Feb 29 23:13:42 UTC 2016 (1),,0xe2cf6241.1c599ec6,,5.252,6.782,0,,,-1.878,,,4,-20,i386,10.10.10.86,0xe2b8cc53.de1eb939,268.125,23104.47,0.306,4,4,JUNOS14.1X53-D35.3,,,0,,Communications
8/1/2020 3:38,113.190.242.188,udp,123,static.vnpt.vn,45899,VN,HA NOI,HANOI,4,0,0xE2CF5931.D775D242,,0,0,3,3,,0,,,,-21,unknown,INIT,0x00000000.00000000,0,0,,,16,UNIX,,3,517311,,Communications
8/1/2020 3:38,210.211.112.58,udp,123,,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xe2cf623c.d3ed6a1d,,-4.009,0.977,0,,0.987,0.492,,,10,-10,unknown,172.16.36.53,0xe2cf5b2f.bee45b49,99.048,74.407,0.009,4,3,UNIX,,,0,,Communications
8/1/2020 3:38,27.0.241.17,udp,123,,131413,VN,HA NOI,HANOI,4,0.001,0xE2CF627A.5DB22E10,,-9.964,0,0,3,,-1.134,,,,-10,unknown,10.126.68.30,0xE2CF5DF6.624DD400,0.009,20.783,,,9,UNIX,,10,0,,Communications
8/1/2020 3:38,171.244.5.220,udp,123,,38731,VN,HA NOI,HANOI,4,0.001,0xE2CF6241.27EF9E20,,-20.752,0,0,3,,-2.1,,,,-10,unknown,172.16.36.53,0xE2CF6157.8A7EFB58,95.579,45.518,,,3,UNIX,,10,517312,,Communications
