"timestamp","ip","protocol","port","hostname","tag","version","asn","geo","region","city","naics","sic"
"2020-08-01 11:00:03","180.93.5.66","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7602,"VN","HA NOI","HANOI",0,
"2020-08-01 11:00:03","113.160.156.185","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.0 Windows",45899,"VN","LANG SON","LANG SON",517311,
"2020-08-01 11:00:09","14.177.232.42","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:00:09","27.72.42.123","tcp",4899,"dynamic-ip-adsl.viettel.vn","radmin","Radmin v3.X Radmin Authentication",7552,"VN","THANH HOA","THANH HOA",517312,
"2020-08-01 11:00:10","14.239.0.21","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.0 Windows",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:00:25","222.255.172.82","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","DA NANG","DA NANG",517311,
"2020-08-01 11:00:38","113.186.127.205","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 11:00:38","45.125.239.190","tcp",4899,"static.ftech.vn","radmin","Radmin v3.X Radmin Authentication",18403,"VN","HA NOI","HANOI",0,
"2020-08-01 11:00:44","113.175.143.253","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:00:44","123.30.133.110","tcp",4899,"mail.ppj-fashion.com","radmin","Radmin v3.X Source IP blocked",7643,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:00:47","27.72.82.140","tcp",4899,"dynamic-ip-adsl.viettel.vn","radmin","Radmin v3.X Radmin Authentication",7552,"VN","HA NOI","HANOI",517312,
"2020-08-01 11:00:47","113.160.156.109","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","LANG SON","LANG SON",517311,
"2020-08-01 11:00:47","112.78.15.220","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",45538,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 11:00:48","113.162.247.221","tcp",4899,"dynamic.vdc.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","LANG SON","LANG SON",517311,
"2020-08-01 11:00:51","123.25.70.252","tcp",4899,"static.vdc.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","VINH PHUC","VINH YEN",517311,
"2020-08-01 11:00:51","14.239.134.69","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 11:00:52","183.81.86.17","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:01:12","14.232.155.252","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:01:15","113.168.91.151","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 11:01:28","14.189.158.44","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:01:29","113.177.108.29","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","BAC NINH","BAC NINH",517311,
"2020-08-01 11:01:46","222.255.175.218","tcp",4899,"mail.nhatrangseafoods.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","DA NANG","DA NANG",517311,
