"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","anonymous_access","raw_response","hex_code","code"
"2020-08-01 19:11:15","117.5.186.235","tcp",1883,"localhost","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:16","14.241.38.212","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","BAC NINH","BAC NINH",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:17","116.105.114.61","tcp",1883,,"mqtt",24086,"VN","QUANG NGAI","QUANG NGAI",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:17","171.234.238.234","tcp",1883,"dynamic-adsl.viettel.vn","mqtt",7552,"VN","HA NOI","HANOI",517312,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:17","103.98.153.24","tcp",1883,,"mqtt",131374,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:19","116.107.122.33","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:20","61.28.231.219","tcp",1883,,"mqtt",38244,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",20020004,04,"Connection Refused, bad user name or password"
"2020-08-01 19:11:20","14.241.251.42","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:22","222.255.129.134","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","QUANG NGAI","QUANG NGAI",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:23","171.255.196.201","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","HAI PHONG","HAI PHONG",517312,,"N",20020004,04,"Connection Refused, bad user name or password"
"2020-08-01 19:11:26","171.224.70.197","tcp",1883,"dynamic-adsl.viettel.vn","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:27","123.16.226.32","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HA NOI","HANOI",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:27","45.124.86.59","tcp",1883,"sv-86059.bkns.vn","mqtt",135905,"VN","HA NOI","HANOI",0,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:27","103.152.46.16","tcp",1883,,"mqtt",140740,"VN","HA NOI","HANOI",0,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:28","171.249.228.173","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:28","14.249.69.72","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","BAC NINH","BAC NINH",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:28","116.96.119.226","tcp",1883,,"mqtt",7552,"VN","HA NOI","HANOI",517312,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:28","171.240.157.156","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:31","116.107.124.172","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","HA NOI","HANOI",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:32","116.107.123.24","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:32","171.247.36.224","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:32","123.28.74.17","tcp",1883,,"mqtt",45899,"VN","BINH DUONG","THU DAU MOT",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:35","14.161.44.220","tcp",1883,,"mqtt",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:36","103.23.147.18","tcp",1883,,"mqtt",131349,"VN","HA NOI","HANOI",0,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:37","116.107.124.199","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","HA NOI","HANOI",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:38","116.107.126.240","tcp",1883,"dynamic-adsl.viettel.vn","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:38","14.161.8.186","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:38","103.56.158.93","tcp",1883,,"mqtt",45899,"VN","HAU GIANG","VI THANH",0,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:38","103.199.16.143","tcp",1883,,"mqtt",63734,"VN","HA NOI","HANOI",0,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:38","103.9.77.216","tcp",1883,"qbop.orchestradisease.org","mqtt",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:38","1.55.64.138","tcp",1883,,"mqtt",18403,"VN","HA NOI","HANOI",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:38","171.235.211.247","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","HA NOI","HANOI",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:39","117.5.178.131","tcp",1883,"localhost","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:39","171.244.43.170","tcp",1883,,"mqtt",38731,"VN","HA NOI","HANOI",517312,,"N",20020004,04,"Connection Refused, bad user name or password"
"2020-08-01 19:11:41","103.53.229.50","tcp",1883,,"mqtt",131427,"VN","HA NOI","HANOI",0,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:42","116.107.124.133","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","HA NOI","HANOI",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:42","171.225.196.66","tcp",1883,"dynamic-adsl.viettel.vn","mqtt",7552,"VN","HA NOI","HANOI",517312,,"Y",20020000,00,"Connection Accepted"
