timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,mdns_name,mdns_ipv4,mdns_ipv6,services,workstation_name,workstation_ipv4,workstation_ipv6,workstation_info,http_name,http_ipv4,http_ipv6,http_ptr,http_info,http_target,http_port
8/1/2020 8:29,103.141.140.120,udp,5353,,mdns,18403,VN,HA NOI,HANOI,0,,,,,_workstation._tcp.local.; _smb._tcp.local.;,svtest1.local.,103.141.140.120,fe80:0:0:0:85e9:b09d:d872:7519,svtest1 [00:50:56:9f:ed:81]._workstation._tcp.local.,,,,,,,
8/1/2020 8:29,123.16.145.2,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_webdavs._tcp.local.; _webdav._tcp.local.; _smb._tcp.local.; _http._tcp.local.; _dacp._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,Home_LTC.local.,192.168.21.69,fe80:0:0:0:211:32ff:fec2:da2c,Home_LTC._http._tcp.local.,"""vendor=Synology"" ""model=DS220j"" ""serial=19C0RKRHFV93A"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:c2:da:2c""",Home_LTC.local.,5000
8/1/2020 8:29,14.186.83.17,udp,5353,static.vnpt.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,HDExpress.local.,192.168.1.10,fe80:0:0:0:211:32ff:fe52:aa4d,HDExpress._http._tcp.local.,"""vendor=Synology"" ""model=DS415+"" ""serial=15C0MIN367903"" ""version_major=6"" ""version_minor=2"" ""version_build=24922"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:52:aa:4d|00:11:32:52:aa:4e""",HDExpress.local.,5000
8/1/2020 8:30,113.161.172.130,udp,5353,mail.kurim.com.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_smb._tcp.local.; _ftp._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,SERVER-NAS.local.,192.168.100.12,fe80:0:0:0:211:32ff:febc:80fb,SERVER-NAS._http._tcp.local.,"""vendor=Synology"" ""model=DS418play"" ""serial=1990PZN920700"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:bc:80:fb|00:11:32:bc:80:fc""",SERVER-NAS.local.,5000
8/1/2020 8:30,222.253.144.139,udp,5353,static.vnpt.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_workstation._tcp.local.;,elastix.local.,192.168.1.231,fe80:0:0:0:21c:c4ff:fe87:78be,elastix [00:1c:c4:87:78:be]._workstation._tcp.local.,,,,,,,
8/1/2020 8:30,115.78.73.52,udp,5353,,mdns,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,517312,,,,,_workstation._tcp.local.; _ssh._tcp.local.;,,,,,,,,,,,
8/1/2020 8:30,124.158.9.185,udp,5353,,mdns,38733,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,,,,_workstation._tcp.local.;,MatrixServer.local.,124.158.9.185,,MatrixServer [1c:c1:de:79:32:6a]._workstation._tcp.local.,,,,,,,
8/1/2020 8:30,116.106.199.158,udp,5353,dynamic-ip-adsl.viettel.vn,mdns,24086,VN,TAY NINH,TAY NINH,517312,,,,,_http._tcp.local.;,,,,,beaglebone.local.,192.168.1.5,2402:800:6347:4542:7aa5:4ff:fecb:147f,Node-RED for beaglebone._http._tcp.local.Cloud9 IDE for beaglebone._http._tcp.local.,"""""""""",beaglebone.local.0,1880
8/1/2020 8:30,117.4.195.155,udp,5353,localhost,mdns,7552,VN,HA NOI,HANOI,517312,,,,,_smb._tcp.local.; _ftp._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,NamNas.local.,192.168.1.17,fe80:0:0:0:211:32ff:fe3b:c346,NamNas._http._tcp.local.,"""vendor=Synology"" ""model=DS214se"" ""serial=14B0M8N190900"" ""version_major=6"" ""version_minor=2"" ""version_build=23739"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:3b:c3:46""",NamNas.local.,5000
8/1/2020 8:30,116.118.107.35,udp,5353,,mdns,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,,,,_smb._tcp.local.; _ftp._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,Synology.local.,192.168.0.7,fe80:0:0:0:211:32ff:fe69:61d6,Synology._http._tcp.local.,"""vendor=Synology"" ""model=DS916+"" ""serial=16B0NZN671600"" ""version_major=6"" ""version_minor=1"" ""version_build=15266"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:69:61:d5|00:11:32:69:61:d6""",Synology.local.,5000
8/1/2020 8:30,118.69.161.225,udp,5353,,mdns,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_webdav._tcp.local.; _smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,KimThanh-NAS.local.,192.168.1.85,fe80:0:0:0:211:32ff:feac:30b0,KimThanh-NAS._http._tcp.local.,"""vendor=Synology"" ""model=DS218+"" ""serial=1940PCN537101"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:ac:30:b0""",KimThanh-NAS.local.,5000
8/1/2020 8:30,171.243.233.129,udp,5353,dynamic-ip-adsl.viettel.vn,mdns,7552,VN,PHU YEN,TUY HOA,517312,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,zinhstudio.local.,192.168.1.11,fe80:0:0:0:211:32ff:febb:2102,zinhstudio._http._tcp.local.,"""vendor=Synology"" ""model=DS218+"" ""serial=1990PCN970004"" ""version_major=6"" ""version_minor=2"" ""version_build=24922"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:bb:21:02""",zinhstudio.local.,5000
8/1/2020 8:30,14.169.245.190,udp,5353,static.vnpt.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_http._tcp.local.;,,,,,spaceLYnk.local.,192.168.1.117,,Web Server on spaceLYnk._http._tcp.local.,"""path=/""",spaceLYnk.local.,80
8/1/2020 8:30,113.183.217.218,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,,,,,,,
8/1/2020 8:30,14.175.50.193,udp,5353,static.vnpt.vn,mdns,45899,VN,THAI NGUYEN,THAI NGUYEN,517311,,,,,_ssh._tcp.local.; _smb._tcp.local.; _http._tcp.local.; _arduino._tcp.local.; _lumismarthome._tcp.local.;,,,,,HC4E3B.local.,192.168.1.100,fe80:0:0:0:9e65:f9ff:fe25:59f3,LinkIt Smart7688 WebUI on HC4E3B._http._tcp.local.,"""path=/""",HC4E3B.local.,80
8/1/2020 8:31,61.14.238.222,udp,5353,,mdns,63731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,,,,_workstation._tcp.local.;,linux.local.,61.14.238.222,2001:df0:2a00:201:bb6c:c5cc:3b27:ffff 2001:df0:2a00:200:fc01:3a79:126b:de95,linux [00:50:56:b7:e9:bb]._workstation._tcp.local.,,,,,,,
